user,date,transaction_type,amount
f5abc955-889d-4a17-87b9-45b362eb673b,30-10-2020,DEBIT,64709
f5abc955-889d-4a17-87b9-45b362eb673b,04-12-2020,DEBIT,98089
f5abc955-889d-4a17-87b9-45b362eb673b,07-07-2020,DEBIT,88877
f5abc955-889d-4a17-87b9-45b362eb673b,27-05-2020,DEBIT,17735
f5abc955-889d-4a17-87b9-45b362eb673b,25-01-2020,DEBIT,46503
f5abc955-889d-4a17-87b9-45b362eb673b,21-02-2020,CREDIT,5218
f5abc955-889d-4a17-87b9-45b362eb673b,31-01-2020,DEBIT,25130
f5abc955-889d-4a17-87b9-45b362eb673b,02-10-2020,DEBIT,26164
f5abc955-889d-4a17-87b9-45b362eb673b,22-03-2020,CREDIT,27038
f5abc955-889d-4a17-87b9-45b362eb673b,16-04-2020,DEBIT,24078
f5abc955-889d-4a17-87b9-45b362eb673b,02-12-2020,DEBIT,45952
f5abc955-889d-4a17-87b9-45b362eb673b,06-03-2020,DEBIT,83886
f5abc955-889d-4a17-87b9-45b362eb673b,31-12-2020,CREDIT,38686
f5abc955-889d-4a17-87b9-45b362eb673b,03-11-2020,DEBIT,92131
f5abc955-889d-4a17-87b9-45b362eb673b,01-07-2020,CREDIT,67071
f5abc955-889d-4a17-87b9-45b362eb673b,25-12-2020,CREDIT,65981
f5abc955-889d-4a17-87b9-45b362eb673b,01-06-2020,DEBIT,8509
f5abc955-889d-4a17-87b9-45b362eb673b,10-04-2020,DEBIT,50479
f5abc955-889d-4a17-87b9-45b362eb673b,11-11-2020,DEBIT,15391
f5abc955-889d-4a17-87b9-45b362eb673b,28-01-2020,CREDIT,93614
f5abc955-889d-4a17-87b9-45b362eb673b,05-01-2020,DEBIT,20104
f5abc955-889d-4a17-87b9-45b362eb673b,06-01-2020,CREDIT,19360
f5abc955-889d-4a17-87b9-45b362eb673b,04-02-2020,DEBIT,75265
f5abc955-889d-4a17-87b9-45b362eb673b,11-05-2020,DEBIT,64206
f5abc955-889d-4a17-87b9-45b362eb673b,27-09-2020,CREDIT,10563
f5abc955-889d-4a17-87b9-45b362eb673b,06-04-2020,DEBIT,2321
f5abc955-889d-4a17-87b9-45b362eb673b,28-05-2020,DEBIT,44655
f5abc955-889d-4a17-87b9-45b362eb673b,25-06-2020,DEBIT,69136
f5abc955-889d-4a17-87b9-45b362eb673b,30-08-2020,DEBIT,1335
f5abc955-889d-4a17-87b9-45b362eb673b,28-01-2020,CREDIT,77913
f5abc955-889d-4a17-87b9-45b362eb673b,17-06-2020,CREDIT,12729
f5abc955-889d-4a17-87b9-45b362eb673b,20-02-2020,CREDIT,88408
f5abc955-889d-4a17-87b9-45b362eb673b,27-01-2020,CREDIT,59309
f5abc955-889d-4a17-87b9-45b362eb673b,08-07-2020,CREDIT,2458
f5abc955-889d-4a17-87b9-45b362eb673b,08-11-2020,DEBIT,16387
f5abc955-889d-4a17-87b9-45b362eb673b,20-02-2020,DEBIT,64972
f5abc955-889d-4a17-87b9-45b362eb673b,06-11-2020,DEBIT,80247
f5abc955-889d-4a17-87b9-45b362eb673b,21-12-2020,CREDIT,80601
f5abc955-889d-4a17-87b9-45b362eb673b,08-02-2020,DEBIT,43621
f5abc955-889d-4a17-87b9-45b362eb673b,31-08-2020,DEBIT,46155
f5abc955-889d-4a17-87b9-45b362eb673b,24-07-2020,CREDIT,83347
f5abc955-889d-4a17-87b9-45b362eb673b,30-10-2020,DEBIT,13801
f5abc955-889d-4a17-87b9-45b362eb673b,23-04-2020,CREDIT,80705
f5abc955-889d-4a17-87b9-45b362eb673b,29-12-2020,DEBIT,24683
f5abc955-889d-4a17-87b9-45b362eb673b,08-04-2020,DEBIT,48109
f5abc955-889d-4a17-87b9-45b362eb673b,04-11-2020,CREDIT,93590
f5abc955-889d-4a17-87b9-45b362eb673b,08-06-2020,DEBIT,81355
f5abc955-889d-4a17-87b9-45b362eb673b,10-03-2020,CREDIT,33894
f5abc955-889d-4a17-87b9-45b362eb673b,17-04-2020,DEBIT,47633
f5abc955-889d-4a17-87b9-45b362eb673b,23-06-2020,CREDIT,114
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,01-02-2020,DEBIT,90768
